FrameID, Prepare, Placement, Opacity, Upload, Reproject, Symbol, Render, Total
256, 860, 130, 12, 164, 797, 4415, 3767, 10146
257, 867, 126, 11, 149, 890, 4450, 3789, 10284
258, 862, 137, 12, 85, 811, 4565, 3717, 10190
259, 870, 132, 11, 113, 804, 4424, 3850, 10206
260, 922, 143, 12, 87, 812, 4446, 3774, 10197
261, 983, 131, 12, 80, 820, 4359, 3719, 10105
262, 949, 139, 11, 88, 807, 4358, 3863, 10217
263, 898, 142, 12, 83, 834, 4423, 3724, 10118
264, 1117, 115, 12, 70, 955, 4617, 3475, 10362
265, 850, 143, 11, 84, 833, 4404, 3909, 10235
266, 879, 128, 11, 110, 993, 4358, 3738, 10219
267, 914, 128, 11, 95, 821, 4467, 3693, 10130
268, 911, 132, 11, 148, 821, 4689, 3678, 10392
269, 878, 131, 12, 111, 826, 4344, 3819, 10123
270, 957, 130, 36, 256, 862, 4470, 3641, 10355
271, 972, 132, 9, 89, 817, 4316, 3715, 10053
272, 934, 522, 28, 90, 924, 4578, 3623, 10701
273, 969, 1799, 1993, 532, 813, 4168, 3712, 13989
274, 917, 548, 26, 81, 853, 4657, 3648, 10733
275, 941, 1869, 2006, 457, 844, 4121, 3751, 13991
276, 1036, 703, 35, 88, 851, 4541, 3591, 10847
277, 1302, 1615, 2020, 504, 862, 4397, 3817, 14519
278, 990, 502, 28, 253, 967, 4516, 3446, 10704
279, 956, 1850, 2359, 566, 904, 4188, 3739, 14564
280, 951, 569, 21, 99, 911, 4586, 3732, 10871
281, 933, 1827, 2007, 492, 918, 4121, 3779, 14079
282, 927, 531, 21, 83, 934, 4548, 3589, 10634
283, 956, 1927, 2124, 527, 1023, 4665, 3769, 14994
284, 789, 458, 22, 101, 962, 4380, 3913, 10628
285, 715, 124, 9, 83, 1301, 4966, 3701, 10901
286, 776, 1769, 1933, 328, 947, 4291, 3884, 13930
287, 911, 471, 28, 100, 949, 4718, 3584, 10763
288, 1007, 1776, 2086, 517, 1031, 4186, 3869, 14473
289, 871, 568, 28, 85, 1041, 4562, 3680, 10837
290, 1149, 1648, 3055, 521, 932, 4896, 3691, 15894
291, 828, 427, 25, 79, 987, 4598, 3342, 10288
292, 921, 1844, 2120, 441, 920, 4177, 3712, 14137
293, 1110, 532, 24, 258, 1003, 4467, 3388, 10785
294, 1072, 1420, 2053, 321, 1045, 5124, 3914, 14950
295, 1000, 378, 12, 95, 992, 4445, 3621, 10546
296, 968, 1923, 2061, 527, 950, 4667, 4043, 15141
297, 1038, 761, 39, 95, 909, 4573, 3584, 11000
298, 1113, 1772, 2027, 538, 960, 4209, 3687, 14308
299, 937, 407, 23, 405, 994, 4355, 3420, 10544
300, 880, 125, 9, 79, 945, 4373, 3627, 10039
301, 736, 1783, 1706, 319, 956, 4508, 3356, 13365
302, 1199, 802, 37, 89, 905, 4597, 3473, 11103
303, 999, 1398, 4694, 447, 1255, 5733, 4264, 18792
304, 923, 679, 1994, 3104, 956, 7470, 8590, 23718
305, 1194, 2010, 2148, 581, 973, 5082, 4587, 16577
306, 1153, 500, 27, 102, 1057, 5549, 3892, 12283
307, 887, 1559, 2197, 533, 994, 4728, 4253, 15153
308, 976, 586, 29, 89, 1077, 5211, 4045, 12014
309, 1001, 1929, 2723, 592, 1086, 5403, 4170, 16905
310, 1149, 506, 25, 90, 1008, 5106, 4029, 11915
311, 951, 1903, 2109, 485, 1177, 5822, 4193, 16641
312, 1195, 513, 22, 88, 1062, 4777, 4063, 11723
313, 929, 2050, 4392, 576, 1086, 5586, 4479, 19100
314, 830, 469, 25, 90, 1075, 5703, 4189, 12383
315, 1064, 1564, 2230, 622, 1103, 5629, 4479, 16693
316, 933, 451, 24, 117, 1102, 5529, 4063, 12221
317, 988, 1846, 2576, 623, 1058, 5401, 4583, 17076
318, 871, 452, 18, 110, 1232, 5140, 3863, 11688
319, 1071, 1966, 3145, 629, 1064, 5425, 4258, 17561
320, 857, 478, 21, 87, 1014, 5085, 3991, 11535
321, 975, 1997, 2294, 522, 1064, 5132, 4424, 16409
322, 1343, 542, 17, 282, 1065, 5098, 3977, 12326
323, 1066, 2182, 2203, 965, 1357, 5580, 4450, 17805
324, 695, 456, 24, 99, 1125, 5220, 3981, 11601
325, 1019, 2028, 2131, 553, 1033, 5430, 4359, 16556
326, 808, 313, 12, 79, 1050, 5247, 3880, 11390
