FrameID, Prepare, Placement, Opacity, Upload, Render, Total
343, 1249, 415, 19, 79, 9175, 10939
344, 1042, 1885, 2096, 513, 10162, 15701
345, 1355, 356, 12, 74, 9103, 10903
346, 903, 1885, 1712, 328, 9235, 14064
347, 752, 385, 12, 81, 9467, 10698
348, 792, 114, 9, 89, 8903, 9910
349, 1290, 1584, 1960, 502, 8962, 14301
350, 785, 500, 2057, 397, 10562, 14304
351, 1346, 1762, 2496, 3526, 16453, 25584
352, 847, 463, 22, 87, 11335, 12755
353, 915, 1684, 1972, 615, 11347, 16536
354, 867, 485, 27, 95, 11506, 12982
355, 741, 1999, 2019, 586, 11309, 16656
356, 855, 450, 21, 88, 11620, 13036
357, 884, 1642, 2132, 559, 11719, 16937
358, 836, 463, 21, 88, 11285, 12695
359, 887, 2099, 2724, 664, 14915, 21290
360, 838, 472, 20, 294, 11443, 13069
361, 876, 1663, 2572, 550, 10690, 16353
362, 888, 467, 27, 168, 12865, 14417
363, 870, 1629, 2531, 1700, 10753, 17485
364, 863, 457, 66, 504, 12373, 14264
365, 847, 1696, 2777, 653, 10647, 16622
366, 838, 1272, 708, 376, 10750, 13945
367, 839, 1560, 2997, 643, 10312, 16353
368, 849, 463, 25, 94, 11131, 12565
369, 814, 1735, 2326, 531, 10668, 16076
370, 911, 449, 24, 90, 11153, 12628
371, 1149, 1827, 2713, 839, 11507, 18037
372, 875, 465, 24, 119, 11731, 13216
373, 856, 1659, 2124, 913, 11372, 16926
374, 764, 322, 12, 84, 11613, 12797
375, 1208, 645, 212, 482, 12868, 15416
376, 1372, 513, 196, 423, 12956, 15462
377, 1141, 485, 172, 450, 13014, 15263
378, 1049, 370, 276, 526, 12652, 14874
379, 3009, 611, 21, 303, 10877, 14822
380, 956, 2505, 2460, 646, 10624, 17193
381, 1212, 760, 10434, 634, 11221, 24263
382, 1105, 2107, 2408, 3832, 19122, 28575
383, 1241, 401, 14, 100, 13359, 15117
384, 1454, 398, 63, 135, 13004, 15057
385, 1048, 1859, 2888, 687, 13124, 19608
386, 1752, 683, 30, 174, 12314, 14955
387, 1194, 2121, 2562, 608, 12095, 18583
388, 1194, 599, 25, 116, 12279, 14215
389, 947, 1752, 2441, 684, 12860, 18686
390, 891, 464, 21, 103, 13143, 14623
391, 1067, 1974, 2263, 563, 11160, 17028
392, 832, 472, 21, 299, 11516, 13141
393, 914, 1870, 2339, 582, 11643, 17349
394, 846, 634, 562, 829, 11966, 14839
395, 883, 1657, 2220, 681, 11663, 17106
396, 864, 468, 21, 89, 12202, 13645
397, 855, 1771, 2215, 554, 11271, 16667
398, 840, 434, 22, 90, 12107, 13494
399, 874, 1799, 2278, 599, 11405, 16956
400, 1061, 537, 128, 440, 13217, 15384
401, 827, 1755, 4821, 807, 11324, 19536
402, 852, 509, 28, 145, 11658, 13194
403, 841, 1688, 2051, 569, 11393, 16543
404, 861, 465, 27, 130, 11588, 13072
405, 1041, 1620, 2343, 566, 11394, 16966
406, 835, 481, 236, 581, 13456, 15590
407, 1122, 1767, 1843, 555, 10238, 15526
408, 785, 433, 177, 352, 11853, 13602
409, 1137, 1831, 1934, 540, 10042, 15485
410, 1006, 547, 27, 126, 10184, 11891
411, 764, 135, 14, 330, 8899, 10144
412, 940, 1965, 1857, 622, 9754, 15140
413, 919, 566, 31, 146, 9560, 11224
414, 1430, 1599, 2021, 380, 9251, 14682
415, 893, 617, 27, 85, 9332, 10956
416, 934, 2091, 1795, 459, 9357, 14638
417, 936, 567, 30, 94, 9799, 11428
418, 938, 2081, 2743, 560, 9801, 16125
419, 1158, 512, 184, 304, 9622, 11781
420, 966, 2026, 1754, 533, 9131, 14412
421, 1048, 569, 32, 340, 9722, 11713
422, 1137, 1827, 1845, 508, 7526, 12844
423, 943, 611, 640, 311, 8164, 10671
424, 1026, 1857, 1907, 589, 7677, 13058
425, 853, 523, 29, 96, 7880, 9383
426, 1141, 2073, 1427, 372, 5966, 10981
427, 1103, 445, 47, 60, 6176, 7833
428, 805, 1860, 1420, 366, 6031, 10484
429, 814, 596, 28, 78, 6357, 7875
430, 791, 1805, 1351, 381, 6123, 10453
431, 876, 634, 35, 68, 6634, 8250
432, 869, 1808, 1328, 380, 6196, 10582
433, 875, 561, 33, 81, 6498, 8050
434, 961, 1730, 1331, 375, 6089, 10488
