FrameID, Prepare, Placement, Opacity, Upload, Reproject, Symbol, Render, Total
730, 2727, 0, 0, 1744, 0, 879, 1723, 7074
731, 2729, 0, 0, 167, 0, 731, 2133, 5761
732, 4256, 0, 0, 229, 0, 856, 1943, 7284
733, 3244, 0, 0, 1055, 0, 742, 1654, 6697
734, 2929, 0, 0, 1563, 0, 548, 1443, 6484
735, 2612, 0, 0, 2032, 0, 555, 1445, 6646
736, 2153, 0, 0, 2796, 0, 442, 1479, 6871
737, 2527, 0, 0, 2451, 0, 429, 1411, 6819
738, 2498, 0, 0, 2338, 0, 437, 1389, 6663
739, 1815, 0, 0, 2899, 0, 695, 1431, 6840
740, 2245, 0, 0, 2343, 0, 386, 1226, 6201
741, 1731, 0, 0, 3400, 0, 389, 1218, 6739
742, 1686, 0, 0, 3545, 0, 386, 1223, 6842
743, 1887, 0, 0, 3254, 0, 379, 1310, 6831
744, 1935, 0, 0, 1842, 0, 394, 1291, 5463
745, 1859, 0, 0, 3230, 0, 391, 1321, 6802
746, 1994, 0, 0, 2869, 0, 435, 1414, 6713
747, 2159, 0, 0, 2654, 0, 394, 1329, 6536
748, 2135, 0, 0, 2919, 0, 397, 1796, 7249
749, 1883, 0, 0, 2840, 0, 396, 1537, 6658
750, 1817, 0, 0, 3330, 0, 384, 1296, 6828
751, 2144, 0, 0, 2733, 0, 397, 1148, 6423
752, 1757, 0, 0, 3233, 0, 393, 1270, 6654
753, 1956, 0, 0, 3274, 0, 390, 1262, 6883
754, 2362, 0, 0, 2519, 0, 389, 1117, 6388
755, 1760, 0, 0, 4945, 0, 447, 4772, 11924
756, 2476, 0, 0, 4709, 75, 1312, 2090, 10663
757, 1941, 0, 0, 4755, 73, 3762, 4541, 15073
758, 1729, 0, 0, 4154, 87, 687, 2506, 9164
759, 3282, 0, 0, 3021, 75, 1179, 2161, 9719
760, 2055, 0, 0, 4412, 73, 671, 2482, 9694
761, 3948, 0, 0, 3882, 189, 2920, 2537, 13478
762, 1978, 0, 0, 5087, 191, 970, 2738, 10965
763, 3497, 0, 0, 3158, 187, 964, 2127, 9934
764, 2277, 0, 0, 4193, 188, 1187, 2059, 9905
765, 3527, 0, 0, 2801, 188, 965, 1912, 9394
766, 2015, 0, 0, 5064, 190, 961, 2021, 10253
767, 2596, 0, 0, 4007, 240, 1427, 2205, 10477
768, 2519, 0, 0, 4184, 215, 1080, 2165, 10164
769, 2155, 0, 0, 4858, 216, 1077, 2432, 10738
770, 2278, 0, 0, 2921, 255, 1077, 2303, 8835
771, 2503, 0, 0, 4151, 252, 1074, 2180, 10162
772, 2534, 0, 0, 4039, 251, 1079, 2131, 10035
773, 2119, 0, 0, 4557, 248, 1079, 2226, 10230
774, 2244, 0, 0, 4003, 251, 1726, 2157, 10381
775, 2366, 0, 0, 4186, 247, 1077, 2133, 10010
776, 2745, 0, 0, 3668, 322, 1502, 2832, 11070
777, 3522, 0, 0, 2766, 317, 1475, 3039, 11120
778, 3055, 0, 0, 3281, 317, 1601, 3117, 11372
779, 2943, 0, 0, 3391, 334, 1483, 2447, 10599
780, 2647, 0, 0, 3601, 637, 1401, 2852, 11139
781, 2342, 0, 0, 2931, 437, 1404, 3838, 10954
782, 2601, 0, 0, 298, 334, 1441, 2766, 7441
783, 2618, 0, 0, 3690, 330, 1535, 3236, 11411
784, 2899, 0, 0, 3140, 332, 1471, 2896, 10739
785, 2871, 0, 0, 3145, 330, 1412, 2925, 10684
786, 2825, 0, 0, 3064, 321, 1487, 2714, 10412
787, 2748, 0, 0, 3376, 329, 1390, 3091, 10934
788, 2871, 0, 0, 3148, 320, 1376, 2619, 10334
789, 2694, 0, 0, 3650, 328, 1380, 2603, 10656
790, 2660, 0, 0, 3695, 373, 1592, 2464, 10784
791, 2559, 0, 0, 4064, 436, 1918, 3718, 12697
792, 2772, 0, 0, 3346, 484, 2306, 3222, 12131
793, 3322, 0, 0, 2855, 422, 1881, 3154, 11635
794, 3295, 0, 0, 3098, 430, 1911, 3736, 12471
795, 2866, 0, 0, 188, 352, 1678, 3071, 8156
796, 2347, 0, 0, 3780, 315, 1391, 2397, 10231
797, 2541, 0, 0, 3462, 313, 1632, 2605, 10555
798, 2519, 0, 0, 3224, 311, 1634, 2504, 10193
799, 2985, 0, 0, 2956, 508, 1587, 2424, 10460
800, 2397, 0, 0, 3838, 458, 1891, 3211, 11796
801, 3062, 0, 0, 2712, 456, 1964, 3656, 11850
802, 3804, 0, 0, 2100, 455, 2568, 3059, 11987
803, 3528, 0, 0, 2269, 504, 2391, 3452, 12146
804, 2467, 0, 0, 2976, 340, 1388, 2659, 9832
805, 2696, 0, 0, 2766, 330, 1388, 2458, 9640
806, 2393, 0, 0, 3306, 661, 1678, 2884, 10923
807, 3548, 0, 0, 2053, 441, 2548, 3429, 12021
808, 2942, 0, 0, 201, 441, 1783, 3722, 9090
809, 2914, 0, 0, 2714, 337, 1452, 2413, 9832
810, 2606, 0, 0, 2997, 341, 1480, 2695, 10120
811, 2758, 0, 0, 2772, 426, 1502, 2261, 9720
812, 2626, 0, 0, 2939, 255, 1083, 1832, 8736
813, 2016, 0, 0, 3371, 250, 1100, 2007, 8744
814, 1859, 0, 0, 3835, 217, 1006, 2179, 9096
815, 2074, 0, 0, 3472, 211, 1055, 2026, 8839
816, 1896, 0, 0, 3777, 212, 1023, 1932, 8841
817, 1981, 0, 0, 3682, 235, 1202, 2525, 9626
818, 1908, 0, 0, 3618, 236, 1168, 2064, 8994
