FrameID, Prepare, Placement, Opacity, Upload, Reproject, Symbol, Render, Total
782, 1868, 124, 9, 26, 0, 635, 2040, 4704
783, 1606, 99, 9, 35, 0, 562, 1625, 3939
784, 1701, 114, 9, 28, 0, 604, 1862, 4320
785, 1417, 100, 10, 31, 0, 623, 1502, 3684
786, 1799, 75, 9, 25, 0, 573, 1599, 4082
787, 2511, 489, 241, 261, 0, 626, 1612, 5741
788, 1695, 83, 9, 27, 0, 925, 1460, 4201
789, 1640, 321, 15, 169, 0, 597, 1458, 4203
790, 1975, 664, 137, 105, 0, 571, 1624, 5078
791, 1635, 333, 15, 29, 0, 771, 1591, 4375
792, 1646, 427, 14, 30, 0, 745, 1440, 4304
793, 2347, 88, 9, 27, 0, 613, 1372, 4457
794, 1676, 130, 10, 27, 0, 684, 1935, 4465
795, 1718, 141, 9, 33, 0, 640, 1694, 4237
796, 1663, 159, 14, 51, 0, 570, 1934, 4393
797, 2048, 446, 17, 29, 0, 834, 1164, 4539
798, 1711, 102, 9, 25, 0, 795, 2001, 4645
799, 1758, 118, 10, 34, 0, 586, 1652, 4159
800, 2128, 139, 12, 29, 0, 632, 1555, 4497
801, 1937, 89, 9, 28, 0, 780, 1508, 4353
802, 1510, 96, 9, 25, 0, 574, 1440, 3656
803, 1653, 134, 10, 38, 0, 897, 1727, 4461
804, 2164, 106, 10, 282, 0, 568, 1236, 4368
805, 1615, 130, 118, 43, 0, 721, 1591, 4218
806, 1616, 78, 9, 54, 0, 735, 1522, 4016
807, 1526, 162, 13, 78, 0, 578, 1404, 3762
808, 1414, 101, 9, 33, 0, 775, 1471, 3805
809, 1955, 87, 9, 84, 0, 792, 1779, 4708
810, 1698, 121, 39, 43, 0, 704, 1795, 4402
811, 1980, 719, 23, 39, 0, 567, 1252, 4583
812, 1667, 805, 30, 47, 0, 540, 2795, 5885
813, 1789, 219, 14, 28, 0, 913, 1719, 4683
814, 1960, 104, 9, 31, 0, 609, 1616, 4331
815, 1772, 103, 9, 25, 0, 650, 2151, 4711
816, 1965, 209, 11, 27, 0, 674, 1368, 4257
817, 1992, 89, 9, 27, 0, 618, 1716, 4453
818, 1656, 209, 660, 48, 0, 630, 1627, 4832
819, 1700, 123, 9, 36, 0, 1176, 1889, 4935
820, 1606, 90, 9, 26, 0, 773, 1517, 4023
821, 2016, 255, 13, 30, 0, 642, 1738, 4696
822, 1534, 100, 9, 33, 0, 800, 1936, 4414
823, 2315, 81, 9, 28, 0, 764, 1546, 4743
824, 3908, 84, 9, 29, 0, 535, 1266, 5833
825, 1808, 195, 15, 108, 0, 994, 2316, 5438
826, 1674, 115, 9, 31, 0, 588, 1764, 4183
827, 2149, 90, 9, 56, 0, 540, 1359, 4206
828, 1364, 149, 13, 86, 0, 557, 1507, 3678
829, 1417, 94, 9, 30, 0, 554, 1435, 3541
830, 1443, 85, 9, 32, 0, 749, 1925, 4244
831, 1824, 629, 46, 75, 0, 662, 1451, 4689
832, 2326, 552, 345, 55, 0, 542, 1608, 5431
833, 1347, 104, 8, 32, 0, 950, 1456, 3899
834, 1628, 109, 9, 25, 0, 584, 1585, 3942
835, 1654, 865, 20, 37, 0, 962, 1202, 4741
836, 1467, 97, 9, 32, 0, 688, 1584, 3878
837, 1461, 97, 9, 52, 0, 630, 2107, 4358
838, 2156, 448, 20, 35, 0, 581, 1362, 4605
839, 2580, 87, 9, 28, 0, 630, 1567, 4903
840, 2384, 80, 17, 49, 0, 714, 1880, 5126
841, 2150, 515, 21, 38, 0, 764, 1416, 4905
842, 1529, 125, 9, 26, 0, 548, 2182, 4422
843, 1549, 111, 9, 30, 0, 576, 1610, 3887
844, 1847, 110, 10, 27, 0, 1021, 1585, 4601
845, 1612, 91, 9, 30, 0, 736, 1427, 3906
846, 1589, 210, 11, 35, 0, 805, 1843, 4494
847, 1916, 95, 9, 26, 0, 590, 2139, 4776
